,tradeDate,closePrice
245,2021-01-06,19.56
246,2021-01-07,19.9
247,2021-01-08,19.85
248,2021-01-11,20.38
249,2021-01-12,21.0
250,2021-01-13,20.7
251,2021-01-14,20.17
252,2021-01-15,21.0
253,2021-01-18,22.7
254,2021-01-19,22.34
255,2021-01-20,22.47
256,2021-01-21,22.23
257,2021-01-22,22.03
258,2021-01-25,22.49
259,2021-01-26,22.37
260,2021-01-27,23.08
261,2021-01-28,22.81
262,2021-01-29,23.09
263,2021-02-01,24.55
264,2021-02-02,23.28
265,2021-02-03,24.95
266,2021-02-04,24.6
267,2021-02-05,24.93
268,2021-02-08,24.8
269,2021-02-09,24.58
270,2021-02-10,23.82
271,2021-02-18,24.3
272,2021-02-19,23.85
